"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"Space-time clustering of mortality notifications in Pacific oysters of Charente sluices, France, 2008-2010","2011.0","Lupo, C., Mandard, Y.V., Arzul, I., François, C., Garcia, C., Renault, T., Bareille, N.","Epidemiologie et Sante Animale","https://www.cabidigitallibrary.org/doi/pdf/10.5555/20113184516","ReviewRef","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","France","NA","Fisheries/Aquaculture","1.0","Pacific oysters (Crassostrea gigas)","1.0","1.0","mortality","mortality","Population","mortality reports","Farmer/Owner","NA","REPAMO","No","No","NA","early detection of emerging and endemic disease in shellfish","Established but not syndromic (event-based with immediate sampling)","Spatio-temporal","Frequentist","Yes"
"Exploring the Surveillance Potential of Mortality Data: Nine Years of Bovine Fallen Stock Data Collected in Catalonia (Spain)","2015.0","Alba, A., Dórea, F.C., Arinero, L., Sanchez, J., Cordón, R., Puig, P., Revie, C.W.","PLoS ONE","10.1371/journal.pone.0122547","ReviewRef","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","Spain","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","mortality reports","Private company (disposal services, etc)","NA","MESRASA precursor","NA","No","NA","detection of health threat to cattle","Operational group MESRASA formed but no updates on website since 2017; received funding from Spanish government 2019-2021; https://coag.com.es/go/mesrasa.html ; https://akisplataforma.es/grupos-operativos/mejora-sistemas-recogida-y-alerta-sanitaria-animal-mesrasa","Spatio-temporal","Frequentist","No"
"Syndromic surveillance in resource scarce countries: application to the detection of influenza and other swine respiratory diseases in Northern Vietnam","2014.0","Baudon E., Tung D.D., Nga P.T., Nguyen V.K., Cowling B.J., Peiris J.S.M., Peyre M.I.","Proceedings ICAHS - 2nd International Conference on Animal Health Surveillance "" Surveillance against the odds""","Gmail","ReviewRef","Pilot program",NA,"State/Province/Department","Asia","Vietnam","NA","Livestock","1.0","pig","3.0","3.0","sick, fever, respiratory","general illness, respiratory","Population","reports to study team","Multiple (see notes)","Private veterinarian, other","Hung Yen pilot system","Yes","No","not specified","early detection of disease outbreak","No","NA","NA","Yes"
"Assessment of the Impact of the 2003 and 2006 Heat Waves on Cattle Mortality in France","2014.0","Morignat, E., Perrin, J.B., Gay, E., Vinard, J.L., Calavas, D., Hénaux, V.","PLoS ONE","10.1371/journal.pone.0093176","ReviewRef","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","1.0","mortality","mortality","Population","mortality reports","Farmer/Owner","NA","National Cattle Register prospective system","Yes","No","NA","quantify effects of climate on cattle mortality","No (but kind of related to OMAR)","Spatio-temporal","Frequentist","Yes"
"Patterns of condemnation rates in swine from a federally inspected abattoir in relation to disease outbreak information in Ontario (2005–2007)","2011.0","Amezcua, R., Pearl, D.L., Martinez, A., Friendship, R.M.","The Canadian veterinary journal = La revue veterinaire canadienne","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3003572/","ReviewRef","Prospective/Proof of Concept",NA,"Local/Municipal","North America","Canada","NA","Livestock","1.0","pig","5.0","23.0","whole carcass cattle condemnation, pneaumonia, arthritis, nephritis, enteritis","carcass condemnation","Population","Meat inspection reports","Meat inspector","NA","NA","NA","No","NA","early detection of disease outbreaks in pigs","No, nothing on OMAFRA website","Temporal","Frequentist","Yes"
"SAVSNET - The Small Animal Veterinary Surveillance Network: The `Who What Where When & Why' of the UK vet-visiting companion animal population","2011.0","Tierney, Á., Buchan, I.E., Setzkorn, C., Jones, P.H., Newton, J.R., Bryan, J.G.E., Gaskell, R.M., Coyne, K.P., Noble, P.J., Dawson, S., Radford, A.D.","Epidemiologie et Sante Animale","https://www.cabidigitallibrary.org/doi/pdf/10.5555/20113184556","ReviewRef","Established","Academic","National","Europe","UK","NA","Companion","2.0","dog, cat","unspecified","unspecified","unspecified","unspecified","Population","Veterinary report","Private veterinarian","NA","SAVSNET (Small Animal Veterinary Surveillance Network)","Yes","No","publication on website_field investigation","rapid and actionable research and surveillance","Established","Spatio-temporal","Frequentist","No"
"RESPE website",NA,NA,NA,NA,"Gray literature","Established","Nonprofit","National","Europe","France","NA","Livestock","1.0","horse","7.0","7.0","respiratory, abortion, nervous, isolated fever, colt diarrhea, reproductive, other","respiratory, reproductive, nervous, GI, general illness","Population","veterinary reports, declarations from public","Multiple (see notes)","Private Veterinarian, Member of public","RESPE","Yes","No","publication on website_field investigation_inform Ministry of Agriculture","rapid detection of diseases in horses","Established","Spatio-temporal","NA","Yes"
"Garden Wildlife Health project website",NA,NA,NA,NA,"Gray literature","Established","Nonprofit","National","Europe","UK","NA","Wildlife","4.0","amphibian, reptile, birds, hedgehog","2.0","2.0","skin/body abnormalities, mortality","mortality, skin/fur/plumage","Population","Reports to custom app","Member of public","NA","Garden Wildlife Health project","Yes","No","Report to government agency","identify and monitor threats to wildlife health","Established","Spatio-temporal","NA","Yes"
"WildAlert website",NA,NA,NA,NA,"Gray literature","Established","Nonprofit","Multi-Region","North America","USA","NA","Wildlife","unspecified","unspecified birds, mammals, reptiles","12.0","12.0",NA,"nervous, respiratory, mortality, gastrointestinal, eyes/ears, skin/fur/plumage, musculoskeletal, general illness","Population","Wildlife rehab center records","Private veterinarian","NA","WildAlert","Yes","No","inform stakeholders (wildlife managers) and public","early and enhanced detection of health threats","Established","Spatio-temporal","Frequentist","Yes"
"OMAR",NA,NA,NA,NA,"Gray literature","Established","Government, Trade association","National","Europe","France","NA","Livestock","1.0","cattle","1.0","1.0","mortality","mortality","Population","rendering data","Private company (disposal services, etc)","NA","OMAR","Yes","No","report to veterinary authority, cattle association","early detection of emerging diseases, epidemiological changes in the pattern of enzootic diseases, or other health events","Established","Spatio-temporal","Frequentist","Yes"
"Ontario animal health network","https://www.oahn.ca/reports/equine-veterinary-report-q3-2024/",NA,NA,NA,"Gray literature","Established","Government","State/Province/Department","North America","Canada","NA","Livestock","1.0","horse","5.0","5.0","mortality, gastrointestinal, respiratory, neurological, reproductive","mortality, gastrointestinal, respiratory, nervous, reproductive","Population","samples sent for testing to the Animal Health Laboratory","Private veterinarian","NA","AHL prospective system","Yes","No","quarterly report_inform stakeholders (vets)","early detection of disease outbreak in horses","Appears derived from AHL prospective system","Temporal",NA,"Yes"
"OMAR Equidés",NA,NA,NA,NA,"Gray literature","Pilot program","Government, Trade association","National","Europe","France","NA","Livestock","1.0","horse","1.0","1.0","mortality","mortality","Population","rendering data for mortality; data reported from farmers on milk production","Private company (disposal services, etc)","NA","OMAR Equidés","Yes","No","inform authorities","early detection of disease outbreaks in horses","Pilot","Spatio-temporal",NA,"Yes"
